SATK:ANTITRACKING01|Командир: Товарищ Моралес, здесь были обнаружены некоторые неточности.
SATK:ANTITRACKING02|Командир: Мне нужно чтобы вы отправились в разведку на северо-западную базу для получения информации.
SATK:ANTITRACKING03|Командир: Мы не можем связаться с Москвой и Сталинтоном, на них напали силы Эпсилон. Думаю, что врага рядом.
SATK:ANTITRACKING04|Командир: Войска в боеготовности, детали будут переданы местному командованию по прибытию на базу.
SATK:ANTITRACKING05|Командир: Что-то странное есть в северо-восточной части нагорья. Там видели часть нашей армии, подозрительно.
SATK:ANTITRACKING06|Командир: Вы должны исследовать это и выяснить, есть ли какие-либо проблемы.
SATK:ANTITRACKING07|Моралес: Какого... тут Клонир.Чаны? После кражи этой технологии Юрием, наша армия не может строить новые.
SATK:ANTITRACKING08|Исследователь: Похоже, что «мы» упустили возможность, Юрий не доволен, он нас утилизирует!!!
SATK:ANTITRACKING09|Моралес: Что вы имели в виду? Юрий? Кажется, объект - приближенный Юрия. Нет другого пути, атакуйте с фронта.
SATK:ANTITRACKING10|Командир: Товарищ, выдвигайтесь.
SATK:ANTITRACKING11|Исследователь: Моралес появился!? Быстро уничтожьте объект!
SATK:ANTITRACKING12|Моралес: Они уничтожили объект сами!
SATK:ANTITRACKING13|Моралес: Кажется, они хотят сбежать в горы, но там тупик.
SATK:ANTITRACKING14|Моралес: Они покончили с собой, но оставили некоторое оборудование.
SATK:ANTITRACKING15|Командир: Мы отправим больше войск для патрулирования.
SATK:ANTITRACKING16|Моралес: Товарищ, пожалуйста, ответьте.
SATK:ANTITRACKING17|Моралес: ... нет ответа, радар тоже сломан, нужно вернуться, чтобы проверить ситуацию.
SATK:ANTITRACKING18|Моралес: Засада!? Кажется, они знают, где я.
SATK:ANTITRACKING19|Моралес: Кажется там два Бомбовоза ... Не так ли? - Товарищ, пожалуйста, ответьте.
SATK:ANTITRACKING20|Моралес: Товарищ, пожалуйста, ответьте! ..... Внезапное нападение, тут хаос.
SATK:ANTITRACKING21|Моралес: Гарнизон быстро падет, мы должны отправится в крепость как можно скорее.
SATK:ANTITRACKING22|Моралес: Дорога имеет засаду и нужен альтернативный путь, чтобы двигаться вперед.
SATK:ANTITRACKING23|Моралес: Можно пройти с западной стороны в зависимости от поведения врага, ждите меня.
SATK:ANTITRACKING24|Моралес: Враг послал сюда большое количество юнитов, похоже, силы Пси-Корпуса хотят меня убить.
SATK:ANTITRACKING25|Моралес: Танк появился из воздуха? Они создали что-то новое.
SATK:ANTITRACKING26|Моралес: Мне удалось успешно подключиться к радару, но что-то не так.
SATK:ANTITRACKING27|Моралес: Это наш военный самолет ... Но я не понимаю свое местоположение, когда связь прервана.
SATK:ANTITRACKING28|Моралес: Кажется, что мост разрушен, нужно идти в обход.
SATK:ANTITRACKING29|Моралес: Люди под пси-контролем? У этого "Гарнизона" есть проблемы, и он временно определен как враг.
SATK:ANTITRACKING30|Моралес: Радар снова нарушен, возможно, силы противника больше, чем я себе представлял.
SATK:ANTITRACKING31|Моралес: Неопознанные танки уже близко, готовьтесь к бою.
SATK:ANTITRACKING32|Моралес: Этот след может идти в крепость ... но враг тоже может так подумать.
SATK:ANTITRACKING33|Моралес: Почему эти люди поставили кучу нефтяных бочек рядом с собой?
SATK:ANTITRACKING34|Моралес: Вражеские танки! Враг уже находится поблизости? Спешите в крепость!
SATK:ANTITRACKING35|Моралес: Вражеская пехота забаррикадировалась в доме! Что делают разведчики?
SATK:ANTITRACKING36|Командир: Я очень рад слышать что вы возвращаетесь, нам сообщили, что враг атакует базу.
SATK:ANTITRACKING37|Командир: Мы потеряли связь с форпостами на северо-востоке и с другими театрами. Ситуация хуже чем мы думали.
SATK:ANTITRACKING38|Командир: Товарищ Моралес, есть несколько новых прототипов танков. Я разрешил им присоединиться к вам.
SATK:ANTITRACKING39|Командир: На юго-восточной базе имеется относительно мощная радиостанция. Вы должны связаться с ними ...
SATK:ANTITRACKING3JTNK|Командир Танка: Кажется, у вас все хорошо, командир отправил нас на поиски вашего местонахождения.
SATK:ANTITRACKING40|Охрана: Товарищ, обнаружено большое количество неопознанных войск! Мы не знаем, как они их прячут!!
SATK:ANTITRACKING41|Командир: Они, спрятались в темноте и наконец-то готовы появиться, мы заблокируем их здесь.
SATK:ANTITRACKING42|Товарищи, расследование говорит о наличии неизвестной силы, пожалуйста, будьте осторожны.
SATK:ANTITRACKING43|Наша защита на Западе довольно стабильна, пока не беспокойтесь об этом.
SATK:ANTITRACKING44|Тем не менее, есть два пути, которые могут быть напрямую связаны с базой. Пожалуйста, будьте осторожны.
SATK:ANTITRACKING45|Линия обороны в северной части крепости была прорвана, и если мы им поможем, мы можем задержать их.
SATK:ANTITRACKING46|Товарищ полковник, мы выяснили методы противодействия взлома коммуникации и работаем над этим.
SATK:ANTITRACKING47|Товарищ полковник, вам нужно защитить эту базу, прежде чем мы возобновим связь.
SATK:ANTITRACKING48|Товарищ Моралес, другие дружественные силы в курсе о запросе на подкрепление, они торопятся сюда.
SATK:ANTITRACKING49|Техника и другие подразделения прибыли.
SATK:ANTITRACKING50|Товарищ, еще один экспериментальный отряд прибыл.
